psraid,sample,state,cregion,usr,pial1a,pial1b,pial1c,pial1d,pial1e,pial2,pial3a,pial3b,pial3c,pial4,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
100735,1,37,3,U,2,2,2,2,1, , , , , ,3,2,1,35,2,2,1,1,2.90243902439024,.967691930255029
100739,1,51,3,S,1,1,1,1,1,1,2,2,2, ,1,1,1,46,6,1,1,6,1.78048780487805,.59362614208922
100742,1,12,3,S,1,2,2,2,2,8,1,2,2, ,3,2,1,86,8,2,1,6,1.4390243902439,.479780032647451
100746,1,26,2,S,1,2,2,1,1,2,1,2,2, ,1,1,1,39,6,2,1,6,1.68292682926829,.561098682248714
100750,1,37,3,R,1,1,1,1,2,1,2,1,1,4,1,2,2,53,8,2,1,99,1.53658536585366,.512307492487957
100751,1,13,3,R,1,1,2,2,2,2,2,2,2, ,3,2,2,83,3,2,1,5,1.92682926829268,.642417331849977
100754,1,44,1,S,1,2,2,1,1,1,1,1,2, ,1,1,1,39,8,2,1,7,1.36585365853659,.455384437767073
100758,1,42,1,S,1,1,2,2,2,2,1,2,2, ,1,2,2,61,4,2,1,4,1.21951219512195,.406593248006315
100762,1,39,2,S,1,1,2,2,1,1,1,2,2, ,3,2,2,69,3,2,1,99,2.1219512195122,.707472251530988
100769,1,25,1,U,1,2,2,1,2,1,1,2,2, ,1,2,1,29,4,1,6,99,2.34146341463415,.780659036172124
100771,1,12,3,S,1,2,2,2,2,2,3,2,2, ,3,2,2,62,3,2,2,1,2.34146341463415,.780659036172124
100772,1,9,1,S,1,2,2,2,2,2,2,2,2, ,3,2,1,80,8,2,1,99,2.07317073170732,.691208521610735
100776,1,37,3,S,1,2,2,2,1,1,2,2,2, ,1,1,2,43,8,2,1,6,2.68292682926829,.894505145613893
100783,1,42,1,S,1,2,2,2,2,2,2,2,2, ,1,2,1,75,6,2,1,7,2.19512195121951,.731867846411367
100785,1,26,2,S,2,2,2,2,2, , , , , ,3,2,2,80,1,2,1,4,3.80487804878049,1.2685709337797
100791,1,42,1,R,1,2,2,2,1,2,1,2,2, ,3,2,2,51,4,2,1,2,2.73170731707317,.910768875534145
100792,1,37,3,U,1,2,2,1,2,2,1,2,2, ,3,2,2,73,3,2,1,4,1.70731707317073,.569230547208841
100798,1,33,1,S,1,2,2,1,2,1,2,2,2, ,3,2,2,79,8,2,1,6,1.1219512195122,.37406578816581
100803,1,47,3,R,2,2,2,2,2, , , , , ,3,2,2,83,3,2,1,2,2.21951219512195,.739999711371493
100804,1,27,2,R,1,2,2,2,2,2,2,2,2, ,1,2,2,53,3,2,1,5,2.75609756097561,.918900740494271
100806,1,17,2,S,1,2,2,1,1,2,1,2,2, ,3,2,1,18,3,2,1,7,2.97560975609756,.992087525135408
100810,1,29,2,S,1,1,2,1,2,1,1,2,2, ,1,2,2,57,3,2,1,99,3.51219512195122,1.17098855425819
100814,1,36,1,S,1,1,1,2,2,1,2,2,2, ,3,2,1,69,3,2,1,6,2.48780487804878,.829450225932882
100817,1,48,3,R,1,2,2,2,1,1,2,2,2, ,1,2,1,43,5,2,1,6,1.5609756097561,.520439357448083
100835,1,39,2,S,1,2,2,2,1,1,1,2,2, ,1,1,1,56,5,2,2,4,1.68292682926829,.561098682248714
100848,1,27,2,S,1,2,2,1,1,1,1,1,2, ,1,1,1,53,5,2,1,8,3.26829268292683,1.08966990465692
100852,1,39,2,S,1,1,2,1,1,2,1,2,2, ,3,2,1,18,3,2,1,99,1.75609756097561,.585494277129093
100857,1,55,2,R,1,2,2,2,2,2,2,2,2, ,3,2,2,84,6,2,1,5,1,.333406463365178
100859,1,22,3,R,1,2,2,2,1,2,1,2,2, ,2,1,2,28,4,2,2,2,2.39024390243902,.796922766092377
100860,1,34,1,S,1,2,1,1,2,2,2,2,2, ,3,2,1,60,6,2,1,5,1.19512195121951,.398461383046189
100863,1,37,3,U,1,2,2,2,2,2,2,2,2, ,3,2,2,53,4,2,1,4,4.19512195121951,1.39868077314172
100870,1,24,3,S,1,2,2,2,1,1,1,1,1,4,2,2,2,20,5,2,2,4,2.70731707317073,.902637010574019
100873,1,27,2,S,1,1,1,1,1,1,1,1,1,1,1,2,2,70,6,2,1,8,1.14634146341463,.382197653125936
100884,1,25,1,S,1,2,2,1,2,1,2,2,2, ,3,2,2,70,8,2,1,6,1.34146341463415,.447252572806946
100886,1,12,3,U,2,2,2,2,2, , , , , ,3,2,2,75,5,2,2,4,3.92682926829268,1.30923025858033
100888,1,51,3,S,1,2,2,2,1,2,2,2,2, ,3,2,2,99,4,2,1,99,2.65853658536585,.886373280653766
100892,1,51,3,S,1,2,2,2,2,2,1,2,2, ,3,2,2,76,4,2,1,3,1.78048780487805,.59362614208922
100900,1,29,2,S,2,2,2,2,2, , , , , ,3,2,2,75,3,2,2,1,2.21951219512195,.739999711371493
100923,1,1,3,U,1,2,2,2,2,2,2,2,2, ,2,2,1,66,3,2,1,4,3.02439024390244,1.00835125505566
100925,1,22,3,U,1,2,2,2,2,1,2,2,2, ,1,2,1,68,8,2,1,4,1.41463414634146,.471648167687325
100926,1,18,2,U,1,2,2,2,2,2,1,2,4, ,1,2,1,45,4,2,1,6,1.80487804878049,.601758007049346
100929,1,5,3,R,2,2,2,2,2, , , , , ,3,2,2,78,3,2,1,9,3.95121951219512,1.31736212354046
100931,1,12,3,S,1,8,1,1,1,1,1,2,2, ,1,1,1,43,4,1,1,3,7.14634146341463,2.382636433317
100933,1,12,3,R,1,2,2,2,2,2,2,2,1,4,3,2,1,68,2,2,1,2,2.75609756097561,.918900740494271
100935,1,40,3,U,1,2,2,1,2,1,2,2,2, ,1,2,1,50,6,2,1,99,2.4390243902439,.81318649601263
100949,1,37,3,R,1,1,1,2,1,1,1,1,1,1,2,2,2,22,6,2,1,8,1.82926829268293,.609889872009472
